FLEXITUFF,20200813,7.15,7.4,6.85,7.1,14366
FLFL,20200813,121,121,118.15,119.4,88351
FLUOROCHEM,20200813,481.8,488.35,466,470.2,29910
FMGOETZE,20200813,370,394.8,367.95,385.75,15562
FMNL,20200813,23,23.7,22.55,23.4,11503
FORCEMOT,20200813,923.5,977,923.5,963.25,78019
FORTIS,20200813,135,135.7,132.1,132.65,865724
FOSECOIND,20200813,1150.8,1200,1150.8,1169.75,4023
FRETAIL,20200813,105.1,107,103.75,104.5,3368817
FSC,20200813,140,143,139,139.65,41720
FSL,20200813,55.9,56.25,54.25,54.4,2406357
GABRIEL,20200813,90.95,94.15,90.5,91.3,571241
GAEL,20200813,189.8,194.9,186,188.35,155970
GAIL,20200813,98.8,99.6,96.5,97.4,19705877
GAL,20200813,2.85,3,2.85,2.9,13772
GALAXYSURF,20200813,1730,1949.5,1710,1886.45,412500
GALLANTT,20200813,33.2,33.2,30.75,31.55,11123
GALLISPAT,20200813,28.95,29.05,28,28.25,18491
GAMMNINFRA,20200813,0.9,0.9,0.85,0.9,1120492
GANDHITUBE,20200813,219,219,211.1,213.05,9572
GANECOS,20200813,223,229.9,223,225.05,8677
GANESHHOUC,20200813,24.95,25.45,23.4,24.45,12062
GANGESSECU,20200813,35.35,35.35,33.25,35.35,4977
GARDENSILK,20200813,11.6,12,11.1,11.4,49800
GARFIBRES,20200813,1870,1944.95,1850,1862.95,45370
GATI,20200813,43.3,44.75,43.05,44,585371
GAYAHWS,20200813,0.45,0.45,0.4,0.45,376658
GAYAPROJ,20200813,16.5,16.5,15.8,15.9,65571
GBGLOBAL,20200813,5.55,5.6,5.1,5.55,3740
GDL,20200813,82.7,83.3,82,82.35,60016
GEECEE,20200813,73.4,74.2,71.65,72.3,10830
